userid,scene,bitrate,speed,choice,speed_label
eo434,school,1000,1.0,1,Slow
eo434,makeway,2000,1.5,1,Medium
eo434,rogue,4000,2.0,1,Fast
eo434,makeway,1000,1.5,1,Medium
eo434,makeway,8000,2.0,1,Fast
eo434,school,4000,1.0,1,Slow
eo434,school,2000,1.0,1,Slow
eo434,makeway,2000,2.0,1,Fast
eo434,rogue,1000,1.5,1,Medium
eo434,school,1000,1.5,1,Medium
eo434,rogue,2000,2.0,1,Fast
eo434,makeway,8000,1.5,1,Medium
eo434,rogue,1000,2.0,1,Fast
eo434,school,8000,1.0,1,Slow
eo434,school,4000,1.5,1,Medium
eo434,school,8000,1.5,1,Medium
eo434,makeway,4000,2.0,1,Fast
eo434,rogue,2000,1.5,1,Medium
eo434,rogue,4000,1.5,1,Medium
eo434,rogue,8000,2.0,1,Fast
eo434,makeway,1000,2.0,1,Fast
eo434,rogue,8000,1.5,1,Medium
eo434,makeway,4000,1.5,1,Medium
eo434,school,2000,1.5,1,Medium
