userid,scene,bitrate,speed,choice,speed_label
hg470,rogue,8000,1.5,1,Medium
hg470,rogue,2000,2.0,1,Fast
hg470,makeway,2000,1.5,1,Medium
hg470,rogue,4000,1.5,1,Medium
hg470,makeway,1000,2.0,1,Fast
hg470,makeway,4000,2.0,1,Fast
hg470,school,4000,1.0,1,Slow
hg470,rogue,1000,1.5,1,Medium
hg470,school,1000,1.5,1,Medium
hg470,school,2000,1.5,1,Medium
hg470,makeway,8000,1.5,1,Medium
hg470,makeway,8000,2.0,1,Fast
hg470,rogue,4000,2.0,1,Fast
hg470,school,1000,1.0,1,Slow
hg470,makeway,2000,2.0,1,Fast
hg470,rogue,8000,2.0,1,Fast
hg470,school,8000,1.5,1,Medium
hg470,rogue,2000,1.5,1,Medium
hg470,school,2000,1.0,1,Slow
hg470,school,8000,1.0,1,Slow
hg470,school,4000,1.5,1,Medium
hg470,makeway,1000,1.5,1,Medium
hg470,makeway,4000,1.5,1,Medium
hg470,rogue,1000,2.0,1,Fast
